id,type,name,tokens,cutoff
"c388","condition","ec-","0",
"c389","condition","fg+","1",
"c390","condition","te+","1",
"c391","condition","ec+","1",
"c392","condition","wd+","1",
"c393","condition","wk+_1","1",
"c394","condition","fg-","0",
"c395","condition","te-","0",
"c396","condition","ec-","0",
"c397","condition","wd-","0",
"c398","condition","te-","1",
"c399","condition","wk-_2","1",
"c400","condition","wk-_1","1",
"c401","condition","wd-","1",
"c402","condition","wk+_3","0",
"c403","condition","wk+_2","0",
"c404","condition","te+","0",
"c405","condition","wk+_1","0",
"c406","condition","rp-","1",
"c407","condition","ac+","1",
"c408","condition","sd-","1",
"c409","condition","wk-_2","1",
"c410","condition","wk-_1","1",
"c411","condition","rp+_2","0",
"c412","condition","wk+_3","0",
"c413","condition","wk+_2","0",
"c414","condition","rp+_1","0",
"c415","condition","wk+_1","0",
"c416","condition","ec+","1",
"c417","condition","rp+_2","1",
"c418","condition","ec-","0",
"c419","condition","wk+_3","1",
"c420","condition","wk+_2","1",
"c421","condition","wk+_1","1",
"c422","condition","ec+","1",
"c423","condition","rp+_1","1",
"c424","condition","wk-_2","0",
"c425","condition","wk-_1","0",
"c426","condition","sd+","1",
"c427","condition","rp+_2","1",
"c428","condition","rp+_1","1",
"c429","condition","wd+","1",
"c430","condition","wk+_3","1",
"c431","condition","rp-","0",
"c432","condition","sd-","0",
"c433","condition","wk+_2","1",
"c434","condition","te+","1",
"c435","condition","wd-","1",
"c436","condition","wd+","0",
"c437","condition","rp-","1",
"c438","condition","ac+","1",
"c439","condition","sd-","1",
"c440","condition","wk-_2","1",
"c441","condition","wk-_1","1",
"c442","condition","rp+_2","0",
"c443","condition","wk+_3","0",
"c444","condition","wk+_2","0",
"c445","condition","rp+_1","0",
"c446","condition","wk+_1","0",
"c447","condition","wk+_3","1",
"c448","condition","wk+_2","1",
"c449","condition","wk+_1","1",
"c450","condition","ec+","1",
"c451","condition","rp+_1","1",
"c452","condition","wk-_2","0",
"c453","condition","wk-_1","0",
"c454","condition","fg+","1",
"c455","condition","te+","1",
"c456","condition","ec+","1",
"c457","condition","wd+","1",
"c458","condition","wk+_1","1",
"c459","condition","fg-","0",
"c460","condition","te-","0",
"c461","condition","ec-","0",
"c462","condition","wd-","0",
"c463","condition","te-","1",
"c464","condition","wk-_2","1",
"c465","condition","wk-_1","1",
"c466","condition","wd-","1",
"c467","condition","wk+_3","0",
"c468","condition","wk+_2","0",
"c469","condition","te+","0",
"c470","condition","wk+_1","0",
"c471","condition","rp-","1",
"c472","condition","ac+","1",
"c473","condition","sd-","1",
"c474","condition","wk-_2","1",
"c475","condition","wk-_1","1",
"c476","condition","rp+_2","0",
"c477","condition","wk+_3","0",
"c478","condition","wk+_2","0",
"c479","condition","rp+_1","0",
"c480","condition","wk+_1","0",
"c481","condition","wk+_3","1",
"c482","condition","wk+_2","1",
"c483","condition","wk+_1","1",
"c484","condition","ec+","1",
"c485","condition","rp+_1","1",
"c486","condition","wk-_2","0",
"c487","condition","wk-_1","0",
"c488","condition","fg-","1",
"c489","condition","te-","1",
"c490","condition","sd-","1",
"c491","condition","wk-_1","1",
"c492","condition","fg+","0",
"c493","condition","te+","0",
"c494","condition","sd+","0",
"c495","condition","rp-","1",
"c496","condition","ac+","1",
"c497","condition","sd-","1",
"c498","condition","wk-_2","1",
"c499","condition","wk-_1","1",
"c500","condition","rp+_2","0",
"c501","condition","wk+_3","0",
"c502","condition","wk+_2","0",
"c503","condition","rp+_1","0",
"c504","condition","wk+_1","0",
"c505","condition","ec+","1",
"c506","condition","rp+_2","1",
"c507","condition","ec-","0",
"c508","condition","fg+","1",
"c509","condition","te+","1",
"c510","condition","ec+","1",
"c511","condition","wd+","1",
"c512","condition","wk+_1","1",
"c513","condition","fg-","0",
"c514","condition","te-","0",
"c515","condition","ec-","0",
"c516","condition","wd-","0",
"c517","condition","te-","1",
"c518","condition","wk-_2","1",
"c519","condition","wk-_1","1",
"c520","condition","wd-","1",
"c521","condition","wk+_3","0",
"c522","condition","wk+_2","0",
"c523","condition","te+","0",
"c524","condition","wk+_1","0",
"c525","condition","rp-","1",
"c526","condition","ac+","1",
"c527","condition","sd-","1",
"c528","condition","wk-_2","1",
"c529","condition","wk-_1","1",
"c530","condition","rp+_2","0",
"c531","condition","wk+_3","0",
"c532","condition","wk+_2","0",
"c533","condition","rp+_1","0",
"c534","condition","wk+_1","0",
"e1","event","r3",,"0"
"e2","event","r6",,"0"
"e3","event","r4",,"0"
"e4","event","r5",,"0"
"e5","event","r9",,"0"
"e6","event","r5",,"0"
"e7","event","r6",,"0"
"e8","event","r9",,"0"
"e9","event","r7",,"0"
"e10","event","r8",,"0"
"e11","event","r6",,"0"
"e12","event","r7",,"0"
"e13","event","r8",,"0"
"e14","event","r8",,"0"
"e15","event","r2",,"0"
"e16","event","r7",,"0"
"e17","event","r9",,"0"
"e18","event","r2",,"0"
"e19","event","r3",,"0"
"e20","event","r5",,"0"
"e21","event","r6",,"0"
"e22","event","r2",,"0"
"e23","event","r9",,"1"
"e24","event","r6",,"1"
"e25","event","r3",,"1"
"e26","event","r1",,"1"
"e27","event","r9",,"1"
"e28","event","r7",,"1"
"e29","event","r9",,"1"
"e30","event","r3",,"1"
"e31","event","r2",,"1"
"e32","event","r9",,"1"
"e33","event","r4",,"1"
"e34","event","r2",,"1"
"e35","event","r1",,"1"
"e36","event","r9",,"1"
"e37","event","r6",,"1"
"e38","event","r1",,"1"
"e39","event","r8",,"1"
"e40","event","r7",,"1"
"e41","event","r9",,"1"
"e42","event","r6",,"1"
"e43","event","r9",,"1"
"e44","event","r6",,"1"
"e45","event","r6",,"1"
"e46","event","r3",,"1"
"e47","event","r1",,"1"
"e48","event","r9",,"1"
"e49","event","r6",,"1"
"e50","event","r9",,"1"
"e51","event","r9",,"1"
"e52","event","r6",,"1"
"e53","event","r6",,"1"
"e54","event","r9",,"1"
"e55","event","r9",,"1"
"e56","event","r7",,"1"
"e57","event","r6",,"1"
"e58","event","r9",,"1"
"e59","event","r3",,"1"
"e60","event","r2",,"1"
"e61","event","r3",,"1"
"e62","event","r3",,"1"
"e63","event","r2",,"1"
"e64","event","r1",,"1"
"e65","event","r9",,"1"
"e66","event","r8",,"1"
"e67","event","r7",,"1"
"e68","event","r9",,"1"
